id,IATA,en-GB,latitude,longitude,vibes,city,country
128668243,AAA,Anaa,-17.35542961176671,-145.50941496626925,,Anaa,France
129052440,AAB,Arrabury,-26.7,141.041667,,Queensland,Australia
154088928,AAD,Adado,6.095833,46.6375,,Galgaduud,Somalia
128667593,AAE,Annaba,36.821667,7.81,,Echatt,Algeria
129057725,AAF,Apalachicola,29.72938,-85.0288,,Florida,United States
129053851,AAG,Arapoti,-24.103611,-49.79,,Arapoti,Brazil
129057414,AAH,Aachen / Merzbruck,50.75,6.133333,,Aachen,Germany
129052979,AAI,Arraias,-12.916667,-46.933333,,Tocantins,Brazil
129056817,AAJ,Awaradam,3.9,-55.366667,,Unknown,Suriname
129054485,AAK,Aranuka,0.166667,173.583333,,Aranuka,Kiribati
95673990,AAL,Aalborg,57.093056,9.85,,Aalborg,Denmark
129055248,AAM,Mala Mala,-24.8,31.533333,,Bushbuckridge,South Africa
128667537,AAN,Al Ain,24.25,55.75,,Al Sarooj,United Arab Emirates
129056450,AAO,Anaco,9.431944,-64.463889,,Anaco,Venezuela
200615313,AAP,AP Tumenggung Pranoto,-0.373611,117.255556,,East Kalimantan,Indonesia
114117387,AAQ,Anapa,45.002097,37.347272,,Vityazevo,Russia
95673987,AAR,Aarhus,56.310278,10.618056,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",Feldballe,Denmark
129053028,AAS,Apalapsili,-3.916667,139.25,,Highland Papua,Indonesia
128668242,AAT,Altay,47.75223,88.08738,,Altay City,China
129056449,AAU,Asau,-13.458333,-172.6,,Matavai,Samoa
129052414,AAV,Alah,6.333333,124.766667,,Lambontong,Philippines
129054813,AAW,Abbottabad,34.2,73.25,,Abbottabad,Pakistan
95673908,AAX,Araxa,-19.568056,-46.929167,,Araxá,Brazil
128668193,AAY,Al Ghaydah,16.2,52.183333,,Al Ghaydah,Yemen
129057724,AAZ,Quetzaltenango,14.865556,-91.501944,,Chajabal,Guatemala
128668315,ABA,Abakan,53.716667,91.5,,Abakan,Russia
128668194,ABB,Asaba International,6.195168,6.729126,,Iyiba,Nigeria
129057413,ABC,Albacete,38.948333,-1.863333,,Albacete,Spain
128668050,ABD,Abadan,30.366667,48.233333,,Khorramshahr,Iran
95566291,ABE,Allentown,40.654722,-75.438333,,East Allen Township,United States
129052978,ABF,Abaiang,1.799150274715055,173.03934681636522,,Abaiang,Kiribati
129056816,ABG,Abingdon,-17.666667,143.2,,Queensland,Australia
129054484,ABH,Alpha,-23.65,146.633333,,Queensland,Australia
95674197,ABI,Abilene Municipal,32.409444,-99.679722,,Abilene,United States
99539624,ABJ,Abidjan,5.256389,-3.926944,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",Port-Bouët,Côte d'Ivoire
129053027,ABK,Kabri Dar,6.733889,44.266111,,Kebri Dehar,Ethiopia
128668475,ABL,Ambler,67.0875,-157.845833,,Ambler,United States
128668196,ABM,Bamaga,-10.866667,142.4,,Queensland,Australia
129056448,ABN,Albina,5.5,-54.083333,,Albina,Suriname
129055247,ABO,Aboisso,5.433333,-3.216667,,Krinjabo,Côte d'Ivoire
129052413,ABP,Atkamba,-6.066667,141.1,,Atkamba,Papua New Guinea
128667331,ABQ,Albuquerque,35.042084,-106.609268,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",Albuquerque,United States
128668197,ABR,Aberdeen,45.4525,-98.426111,,South Dakota,United States
128667592,ABS,Abu Simbel,22.372222,31.615278,,Aswan,Egypt
128667536,ABT,Al-Baha,20.296111,41.634167,,الجذي,Saudi Arabia
128668474,ABU,Atambua,-9.133333,124.883333,,Atambua,Indonesia
128668198,ABV,Abuja,9.0,7.266667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",Federal Capital Territory,Nigeria
129055881,ABW,Abau,-10.183333,148.7,,Central,Papua New Guinea
128668314,ABX,Albury,-36.068333,146.976667,,Victoria,Australia
95674281,ABY,Albany Dougherty County,31.532222,-84.196111,,Georgia,United States
95674056,ABZ,Aberdeen,57.204167,-2.198056,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",Aberdeen City,United Kingdom
95673649,ACA,Acapulco,16.755556,-99.766944,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",Acapulco,Mexico
129054812,ACB,Bellaire,44.983333,-85.216667,,Michigan,United States
128667421,ACC,Accra,5.595278,-0.170833,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}",Accra,Ghana
128668049,ACD,Acandi,8.516667,-77.3,,Acandí,Colombia
95673311,ACE,Lanzarote,28.9502502,-13.6057447,,San Bartolomé,Spain
216756567,ACF,Alaer Talimu,40.43,81.27,,Aksu City,China
128668188,ACH,St Gallen Altenrhein,47.4833,9.5667,,Höchst,Austria
