id,IATA,en-GB,latitude,longitude,vibes
95566278,BVA,Paris Beauvais,49.455833,2.1125,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95565041,CDG,Paris Charles de Gaulle,49.0096176,2.5481698,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
129052339,DLP,Disneyland Paris,48.866667,2.8,
128668435,ELS,East London,-33.036111,27.823889,
129054589,GON,Groton-New London,41.328889,-72.046389,
129053609,LBG,Paris Le Bourget,48.971944,2.4425,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95565047,LCY,London City,51.503753,0.048512,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95565051,LGW,London Gatwick,51.148056,-0.196667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95565050,LHR,London Heathrow,51.471389,-0.452778,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
129057988,LOZ,Corbin-London,37.087222,-84.076944,
95565053,LTN,London Luton,51.878704,-0.375705,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
128667882,LTQ,Le Touquet Paris Plag,50.515,1.628056,
95565077,MAD,Madrid,40.490384,-3.5921839,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
95565040,ORY,Paris Orly,48.728889,2.357222,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
129056537,PHT,Paris,36.333611,-88.383333,
129052599,PRX,Paris,33.636667,-95.450278,
95565054,SEN,London Southend,51.5701698,0.6922722,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95565052,STN,London Stansted,51.883333,0.233333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95673743,YXU,London,43.04,-81.15,
